// poisson vie infinie, naissance a chaque tour
// requin 3 vies, naissances tous les 3 tours
Poissons	Requins
10.13941709	8.417534522
9.830522411	8.714804391
9.7119876	8.634272601
9.432082593	8.644016693
9.286474645	8.607861626
9.090847546	8.628210831
9.138001623	8.436355317
8.8707058	8.482712948
8.938687651	8.579356191
8.831109255	8.551846414
9.014934747	8.372189672
9.14564598	8.385333497
9.233573104	8.533553613
9.430751456	8.685655691
9.666285689	8.527000568
9.829095602	8.547746936
10.14074437	8.541598362
10.3467898	8.556615437
10.39576544	8.252219284
10.62062812	8.3592564
10.56518433	8.543806422
10.59121265	8.378177392
10.50820172	8.324455573
10.62930766	8.40631083
10.55621723	8.618671926
10.38016606	8.75030646
10.06690791	8.510763856
9.971313208	8.573961186
9.745486837	8.637392824
9.579266785	8.492197827
9.35367717	8.41251426
9.226711216	8.37009455
9.110640224	8.649501371
9.042916598	8.479481108
8.953872109	8.197019283
8.854390063	8.230589885
8.873901673	8.504943145
8.693250388	8.209807206
8.697249421	8.10025278
8.589820244	8.029240826
8.600060859	8.048851241
8.534114763	7.903709442
8.590810343	7.772892446
8.5385219	7.995852047
8.527228837	8.253608216
8.40202242	8.090766936
8.467894429	7.781169455
8.398796254	8.026594834
8.514496645	8.216215694
8.502312002	7.978309718
8.687977202	7.816168829
8.80174335	7.832956048
8.980351678	8.259037913
9.04491051	7.852075643
9.272439957	7.700892292
9.314454839	7.801968971
9.494077766	8.018663496
9.547514972	8.018348912
9.70685131	7.887011972
9.600489815	7.947780046
9.646065787	8.053936089
9.55119744	7.954049349
9.550219721	8.030061914
9.490362898	8.077203371
9.429951074	8.408924364
9.295794404	8.307253985
9.372805268	8.305264903
9.266575255	8.395789475
9.306351202	8.644820693
9.269075579	8.530733412
9.390537811	8.509822559
9.361709518	8.613420182
9.367090502	8.663933232
9.528001893	8.476857586
9.492225014	8.391415967
9.594153649	8.325265673
9.479405795	8.388472781
9.57590932	8.254290185
9.542566804	8.239948178
9.609703411	8.15686632
9.531675313	8.280847395
9.57322329	8.044977881
9.388737871	8.212683777
9.26331945	8.062979351
9.089784499	8.147012651
9.014746335	8.276020028
8.711292969	8.627523655
8.667099045	8.541786071
8.187079216	8.462196581
8.010551772	8.345566154
7.678334971	8.361812876
7.370089376	8.381666817
6.940521305	8.39276953
6.854715027	8.108441465
6.559270761	8.317636657
6.437891966	8.290045236
6.129757851	8.131034987
6.182605373	7.992308041
5.988068823	8.26954233
6.068250181	8.057411612
5.99617517	8.146017529
6.203523643	7.796439206
6.21145398	7.951489102
6.516184041	7.681522383
6.580853498	7.539680904
6.875929368	7.220830278
6.979562733	7.588568371
7.228246237	7.552419152
7.308572615	7.746985486
7.555478197	7.515925859
7.70803706	7.697355236
7.94419792	7.784471094
8.046358389	7.944718267
8.24775972	7.979294402
8.357332236	8.210146095
8.624037255	8.199141463
8.829705349	8.30855242
9.108530219	8.200511622
9.279551132	8.276396192
9.567892967	8.453596568
9.778764933	8.450279298
10.14115502	8.418017867
10.23699836	8.473861554
10.69202378	8.621564728
10.92514248	8.675018091
11.31582043	8.485845603
11.46048661	8.566048928
11.87157779	8.781732081
11.96334755	8.5986886
12.30968282	8.516911895
12.56053702	8.467158308
12.68322855	8.697933015
12.64734356	8.862410152
12.7239499	8.9007565
12.52746581	8.958028583
12.67774263	8.961137212
12.33637621	9.216277604
12.22350589	9.17866691
11.67539052	9.275595322
11.45689197	8.947691182
10.84797215	9.021562395
10.63013655	9.027533588
9.781604823	8.971136392
9.338812147	8.833307745
8.631354546	9.027572373
8.50493414	8.940212684
7.846958805	8.81028756
7.623939573	8.591948453
7.217483779	8.774817131
7.192094435	8.670433949
6.86971306	8.629519871
6.835821988	8.18011361
6.723768921	8.153068182
6.768392815	8.300482501
6.721173216	8.179292906
6.770972238	7.954448329
6.762590217	8.060652725
6.899540135	8.177382116
6.959939722	8.035380313
7.029335746	7.712126414
6.992920579	7.76200013
7.103439167	7.882233068
7.208806456	8.012666896
7.306171552	7.968909205
7.404756113	8.018421503
7.577287273	8.071829822
7.745133182	8.217967296
7.892636025	8.173013472
8.078834748	8.34709927
8.29213245	8.384510202
8.435154388	8.341848081
8.711187013	8.354037486
8.842635218	8.547236433
9.119855276	8.552824917
9.217769552	8.475772946
9.409174609	8.400430564
9.564998576	8.633129212
9.885959147	8.659735228
10.03407601	8.61497044
10.22586701	8.515308364
10.38724569	8.645535082
10.51646901	8.407328529
10.50707679	8.603366338
10.37633221	8.63360887
10.26699104	8.694593188
10.12856587	8.64893902
9.912844075	8.743292828
9.609988371	8.834599006
9.238092372	8.814897875
8.914894919	8.659828653
8.573790976	8.699302762
8.121000263	8.621100336
7.670783802	8.690851445
7.312825268	8.474931531
6.931793677	8.402699861
6.514253584	8.291689465
6.224228108	8.280638287
6.017044461	8.110163386
6.006837035	8.081622432
5.779652571	7.996734685
5.742636068	7.790401292
5.639030329	7.785215832
5.623362858	7.559422738
5.576473683	7.550298959
5.670474523	7.4359333
5.811936183	7.589104442
5.887922791	7.700478108
6.078040479	7.437220595
6.330627084	7.35296563
6.590572063	7.399756376
6.809949898	7.581707069
7.027039555	7.386446169
7.20298581	7.309241898
7.413903692	7.422534588
7.5796789	7.638590989
7.77035239	7.646876078
7.931904413	7.627019856
8.186345241	7.546510762
8.291746246	7.616553312
8.614852769	7.447212074
8.754698007	7.362530002
9.072843022	7.545296306
9.238255584	7.67510273
9.527285807	7.453805359
9.750939637	7.309837242
10.05113256	7.331264124
10.25504408	7.595892706
10.58042037	7.457061497
10.74196645	7.506754585
11.00091045	7.519361064
11.25420815	7.788960924
11.55567544	7.871044493
11.73754004	8.194780651
11.99048978	8.196496385
12.17067696	8.415791211
12.33987128	8.563979771
12.43580569	8.800165136
12.56134277	8.809751408
12.64320548	9.014765455
12.83834157	9.059380517
12.78931883	9.210754068
12.72100385	9.124422649
12.83606072	9.058314405
12.78980573	9.220638074
12.7414968	9.25055829
12.55828371	9.263707459
12.70619039	9.461850541
12.58052702	9.324578224
12.43874156	9.183264453
12.15979536	9.050902378
12.22566625	8.954231378
11.92631141	8.963172279
11.84137988	8.948555108
11.42489496	9.032784321
11.20247809	9.46411948
10.87798297	9.252701885
10.58055078	8.984733646
10.23108029	8.882797591
9.894293966	8.973875528
9.384772024	8.867650166
9.072261108	8.823407767
8.802612081	8.887602031
8.64596165	8.970859893
8.534108064	8.791752332
8.454801072	8.865592669
8.401549178	8.94250054
